Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,Application_Date,Offer_Date,Join_Date,Days_to_Offer,Days_to_Join,Funnel_Stage_Drop,Month
27,1,1,5,1,40.3,45,94,53,1,1,2024-03-27,2024-04-28,2024-05-09,32,11.0,Joined,Apr-2024
33,1,1,15,2,8.87,35,36,79,1,0,2024-01-06,2024-01-29,,23,,Dropped at Interview,Jan-2024
42,0,3,10,1,27.33,57,96,73,3,1,2024-06-04,2024-07-06,2024-07-23,32,17.0,Joined,Jul-2024
40,0,3,9,3,10.41,75,26,92,2,1,2024-02-24,2024-03-05,2024-03-14,10,9.0,Joined,Mar-2024
35,0,3,8,1,36.24,37,44,58,2,0,2024-06-21,2024-07-08,,17,,Dropped at Interview,Jul-2024
37,1,3,12,1,14.31,10,3,5,2,0,2024-05-26,2024-06-10,,15,,Dropped at Screening,Jun-2024
43,1,2,3,2,16.49,11,85,28,1,1,2024-04-11,2024-05-02,2024-05-12,21,10.0,Joined,May-2024
45,0,1,5,3,42.4,41,89,16,1,0,2024-01-29,2024-03-03,,34,,Dropped at Interview,Mar-2024
44,0,3,15,5,24.34,38,95,59,2,1,2024-05-30,2024-06-18,2024-07-04,19,16.0,Joined,Jun-2024
48,0,2,6,5,33.82,70,87,21,1,0,2024-04-20,2024-05-15,,25,,Dropped at Offer,May-2024
34,0,3,12,4,20.72,10,98,23,1,1,2024-06-08,2024-07-08,2024-07-21,30,13.0,Joined,Jul-2024
20,1,3,10,1,15.6,35,36,80,2,0,2024-01-10,2024-02-03,,24,,Dropped at Interview,Feb-2024
44,0,1,5,4,31.65,51,95,84,3,0,2024-03-31,2024-05-08,,38,,Dropped at Interview,May-2024
26,0,3,7,2,8.59,30,70,50,1,1,2024-06-25,2024-07-22,2024-07-29,27,7.0,Joined,Jul-2024
28,0,1,3,5,19.28,32,32,49,1,1,2024-01-29,2024-03-01,2024-03-13,32,12.0,Joined,Mar-2024
43,0,1,11,1,11.24,12,30,10,1,1,2024-02-14,2024-03-09,2024-03-23,24,14.0,Joined,Mar-2024
20,0,1,14,2,35.09,17,54,55,1,1,2024-02-20,2024-03-11,2024-04-03,20,23.0,Joined,Mar-2024
27,0,2,0,2,47.27,40,11,70,3,0,2024-04-10,2024-05-06,,26,,Dropped at Interview,May-2024
43,0,2,6,1,49.78,57,10,41,2,1,2024-05-07,2024-05-17,2024-06-16,10,30.0,Joined,May-2024
30,1,1,2,2,23.06,55,87,38,1,1,2024-01-11,2024-01-31,2024-02-13,20,13.0,Joined,Jan-2024
36,1,3,13,1,13.37,23,71,68,2,0,2024-03-22,2024-04-08,,17,,Dropped at Screening,Apr-2024
27,1,1,5,1,22.7,72,31,47,1,0,2024-05-07,2024-06-05,,29,,Dropped at Offer,Jun-2024
54,1,3,1,3,42.52,30,56,56,3,1,2024-01-06,2024-02-15,2024-02-22,40,7.0,Joined,Feb-2024
54,0,1,8,4,11.09,54,37,20,2,0,2024-03-07,2024-03-24,,17,,Dropped at Interview,Mar-2024
52,1,3,0,2,47.65,9,59,81,3,1,2024-03-02,2024-04-10,2024-04-25,39,15.0,Joined,Apr-2024
24,1,2,5,2,17.75,59,85,98,1,0,2024-05-12,2024-06-13,,32,,Dropped at Offer,Jun-2024
47,0,3,5,3,49.3,1,97,19,3,1,2024-05-16,2024-06-21,2024-07-08,36,17.0,Joined,Jun-2024
26,0,1,4,3,42.09,14,18,14,3,0,2024-01-28,2024-03-10,,42,,Dropped at Screening,Mar-2024
28,1,2,15,3,40.62,2,83,68,1,1,2024-02-07,2024-02-28,2024-03-24,21,25.0,Joined,Feb-2024
27,1,3,12,5,16.58,42,55,76,1,1,2024-02-12,2024-03-04,2024-03-12,21,8.0,Joined,Mar-2024
31,0,3,4,5,1.43,30,13,50,2,0,2024-04-26,2024-05-09,,13,,Dropped at Interview,May-2024
53,1,3,0,5,19.72,69,32,75,1,0,2024-05-28,2024-06-19,,22,,Dropped at Offer,Jun-2024
52,0,3,9,1,15.79,66,9,61,2,1,2024-02-15,2024-03-07,2024-04-05,21,29.0,Joined,Mar-2024
42,0,3,11,2,2.83,55,79,84,3,1,2024-06-14,2024-07-16,2024-08-02,32,17.0,Joined,Jul-2024
43,0,2,4,4,25.76,62,63,36,3,0,2024-02-18,2024-03-15,,26,,Dropped at Offer,Mar-2024
54,0,2,1,1,20.75,74,63,5,2,0,2024-02-08,2024-02-21,,13,,Dropped at Offer,Feb-2024
41,1,2,6,2,32.09,14,61,70,1,0,2024-03-11,2024-04-11,,31,,Dropped at Screening,Apr-2024
46,0,2,2,2,31.44,91,67,25,1,0,2024-05-06,2024-06-04,,29,,Dropped at Offer,Jun-2024
54,0,1,12,3,6.92,9,90,7,3,0,2024-06-06,2024-07-20,,44,,Dropped at Screening,Jul-2024
20,1,2,14,3,48.87,37,91,72,2,0,2024-05-28,2024-06-20,,23,,Dropped at Interview,Jun-2024
54,0,3,3,1,10.16,46,42,90,3,0,2024-01-01,2024-01-28,,27,,Dropped at Interview,Jan-2024
33,1,3,2,3,22.82,56,79,3,3,0,2024-06-08,2024-07-11,,33,,Dropped at Offer,Jul-2024
22,1,2,2,2,24.92,49,58,20,1,0,2024-05-15,2024-06-18,,34,,Dropped at Interview,Jun-2024
20,1,3,3,3,40.84,70,51,30,2,1,2024-03-09,2024-03-19,2024-03-28,10,9.0,Joined,Mar-2024
24,0,2,4,5,5.86,14,96,20,3,0,2024-01-30,2024-02-27,,28,,Dropped at Screening,Feb-2024
45,1,3,0,3,22.0,17,18,24,1,0,2024-04-24,2024-05-24,,30,,Dropped at Screening,May-2024
33,1,1,3,2,31.8,81,20,14,3,1,2024-01-08,2024-02-17,2024-03-11,40,23.0,Joined,Feb-2024
46,0,1,11,1,11.54,87,21,34,3,1,2024-04-22,2024-06-01,2024-06-17,40,16.0,Joined,Jun-2024
28,1,2,11,4,31.75,1,8,48,1,1,2024-01-19,2024-02-09,2024-02-18,21,9.0,Joined,Feb-2024
34,1,2,10,3,46.26,83,8,42,1,1,2024-02-28,2024-03-31,2024-04-28,32,28.0,Joined,Mar-2024
34,1,2,7,2,49.88,97,72,40,2,1,2024-06-06,2024-06-25,2024-07-04,19,9.0,Joined,Jun-2024
45,1,3,9,4,2.59,42,26,36,3,1,2024-03-19,2024-04-27,2024-05-24,39,27.0,Joined,Apr-2024
32,1,2,6,4,12.54,25,16,56,2,0,2024-02-05,2024-02-22,,17,,Dropped at Screening,Feb-2024
51,0,1,8,5,16.21,70,43,41,1,1,2024-02-24,2024-03-15,2024-03-28,20,13.0,Joined,Mar-2024
51,1,3,4,4,20.56,37,44,46,1,1,2024-02-13,2024-03-10,2024-03-18,26,8.0,Joined,Mar-2024
23,1,2,12,2,12.87,93,7,91,3,1,2024-06-03,2024-07-13,2024-07-20,40,7.0,Joined,Jul-2024
49,0,3,14,2,10.97,41,79,60,2,0,2024-03-17,2024-04-06,,20,,Dropped at Interview,Apr-2024
42,0,3,9,3,47.77,4,17,13,2,1,2024-03-18,2024-03-29,2024-04-11,11,13.0,Joined,Mar-2024
34,0,2,3,3,46.01,10,32,67,3,0,2024-04-10,2024-05-10,,30,,Dropped at Screening,May-2024
48,1,3,7,3,3.3,64,0,52,3,1,2024-06-24,2024-08-01,2024-08-27,38,26.0,Joined,Aug-2024
32,0,1,8,4,17.6,33,75,83,2,1,2024-01-30,2024-02-20,2024-03-08,21,17.0,Joined,Feb-2024
51,1,1,12,4,20.85,0,5,33,1,0,2024-02-08,2024-03-10,,31,,Dropped at Screening,Mar-2024
26,1,3,6,5,12.71,82,40,75,1,0,2024-01-13,2024-02-04,,22,,Dropped at Offer,Feb-2024
41,0,2,13,3,31.81,1,54,96,3,1,2024-05-01,2024-05-31,2024-06-29,30,29.0,Joined,May-2024
47,0,3,15,1,32.38,84,4,23,2,0,2024-05-23,2024-06-12,,20,,Dropped at Offer,Jun-2024
21,1,1,6,5,42.67,19,58,19,2,0,2024-06-20,2024-07-13,,23,,Dropped at Screening,Jul-2024
25,0,3,15,1,37.3,60,79,68,2,1,2024-04-21,2024-05-15,2024-05-27,24,12.0,Joined,May-2024
47,1,3,4,4,27.59,86,17,29,1,1,2024-06-03,2024-07-01,2024-07-30,28,29.0,Joined,Jul-2024
47,0,1,3,5,33.03,20,48,87,1,1,2024-02-14,2024-03-17,2024-03-27,32,10.0,Joined,Mar-2024
39,0,3,13,5,14.43,87,81,6,2,0,2024-04-28,2024-05-13,,15,,Dropped at Offer,May-2024
49,0,3,9,2,30.06,67,64,35,2,1,2024-02-04,2024-02-28,2024-03-24,24,25.0,Joined,Feb-2024
30,1,2,0,4,24.97,11,82,37,3,1,2024-06-04,2024-07-14,2024-08-10,40,27.0,Joined,Jul-2024
47,0,2,9,4,7.53,21,53,79,3,0,2024-01-07,2024-02-18,,42,,Dropped at Screening,Feb-2024
44,1,1,9,5,12.88,19,60,51,2,0,2024-04-19,2024-05-09,,20,,Dropped at Screening,May-2024
52,1,1,6,4,15.29,81,7,14,2,1,2024-04-23,2024-05-06,2024-05-31,13,25.0,Joined,May-2024
20,1,1,15,5,46.29,0,2,45,1,0,2024-02-20,2024-03-12,,21,,Dropped at Screening,Mar-2024
46,1,2,0,2,12.29,29,24,22,2,1,2024-02-15,2024-02-28,2024-03-19,13,20.0,Joined,Feb-2024
32,0,1,0,5,15.17,96,68,11,3,0,2024-01-20,2024-02-14,,25,,Dropped at Offer,Feb-2024
22,1,1,4,4,19.1,23,54,92,1,1,2024-04-05,2024-04-30,2024-05-09,25,9.0,Joined,Apr-2024
25,1,1,12,4,33.52,13,39,43,3,0,2024-02-07,2024-03-07,,29,,Dropped at Screening,Mar-2024
27,0,2,8,5,6.79,35,82,14,3,0,2024-04-13,2024-05-25,,42,,Dropped at Interview,May-2024
46,1,3,5,5,47.74,68,81,92,1,0,2024-02-01,2024-02-21,,20,,Dropped at Offer,Feb-2024
28,0,1,2,5,43.41,74,49,48,3,0,2024-06-02,2024-07-09,,37,,Dropped at Offer,Jul-2024
52,1,3,12,3,29.28,23,94,20,2,1,2024-02-27,2024-03-14,2024-03-24,16,10.0,Joined,Mar-2024
43,0,1,2,4,34.03,59,32,14,3,0,2024-06-15,2024-07-17,,32,,Dropped at Offer,Jul-2024
34,1,3,6,4,1.82,94,17,13,1,1,2024-05-27,2024-06-30,2024-07-14,34,14.0,Joined,Jun-2024
51,0,2,5,3,17.61,54,56,41,1,0,2024-03-22,2024-04-16,,25,,Dropped at Interview,Apr-2024
51,1,2,8,5,39.99,76,15,79,1,0,2024-02-19,2024-03-12,,22,,Dropped at Offer,Mar-2024
43,1,1,5,2,4.8,79,79,14,3,1,2024-02-21,2024-04-02,2024-04-26,41,24.0,Joined,Apr-2024
31,0,3,4,5,14.83,23,37,62,2,0,2024-03-26,2024-04-19,,24,,Dropped at Screening,Apr-2024
21,0,2,9,5,29.68,76,40,67,1,0,2024-04-24,2024-05-26,,32,,Dropped at Offer,May-2024
22,0,1,6,3,13.56,23,6,26,2,1,2024-05-29,2024-06-10,2024-06-20,12,10.0,Joined,Jun-2024
36,0,1,0,4,46.76,53,77,86,1,0,2024-02-22,2024-03-13,,20,,Dropped at Interview,Mar-2024
21,1,2,11,5,7.42,25,52,92,2,1,2024-03-06,2024-03-28,2024-04-14,22,17.0,Joined,Mar-2024
21,1,2,6,4,40.07,65,62,52,2,0,2024-04-26,2024-05-15,,19,,Dropped at Offer,May-2024
47,0,1,15,1,25.89,79,88,51,2,0,2024-02-12,2024-02-26,,14,,Dropped at Offer,Feb-2024
42,1,3,2,4,37.77,37,31,62,1,0,2024-03-22,2024-04-20,,29,,Dropped at Interview,Apr-2024
51,0,3,13,2,16.23,64,37,72,3,1,2024-05-30,2024-07-02,2024-07-24,33,22.0,Joined,Jul-2024
52,0,3,8,2,26.21,74,21,52,3,0,2024-03-04,2024-04-07,,34,,Dropped at Offer,Apr-2024
20,1,1,14,5,42.98,50,15,56,3,0,2024-05-16,2024-06-20,,35,,Dropped at Interview,Jun-2024
38,1,2,5,4,23.88,34,51,51,2,0,2024-04-22,2024-05-09,,17,,Dropped at Interview,May-2024
21,1,1,8,5,18.63,42,28,42,1,0,2024-05-14,2024-06-12,,29,,Dropped at Interview,Jun-2024
45,1,2,12,3,27.27,28,15,6,2,0,2024-06-17,2024-07-01,,14,,Dropped at Screening,Jul-2024
51,1,3,14,2,36.15,36,75,41,1,0,2024-02-23,2024-03-17,,23,,Dropped at Interview,Mar-2024
25,1,3,4,5,22.73,80,16,3,2,0,2024-03-05,2024-03-20,,15,,Dropped at Offer,Mar-2024
51,1,2,6,3,47.0,57,100,68,1,0,2024-01-02,2024-02-04,,33,,Dropped at Offer,Feb-2024
23,0,2,12,5,15.45,53,63,4,1,0,2024-05-11,2024-06-03,,23,,Dropped at Interview,Jun-2024
30,0,1,15,4,24.3,38,90,74,1,1,2024-03-18,2024-04-16,2024-04-25,29,9.0,Joined,Apr-2024
36,0,3,13,4,38.09,41,88,91,2,0,2024-02-01,2024-02-14,,13,,Dropped at Interview,Feb-2024
43,0,1,3,4,34.77,27,12,79,3,1,2024-04-09,2024-05-22,2024-06-04,43,13.0,Joined,May-2024
24,0,1,14,4,43.32,28,71,40,2,1,2024-05-09,2024-05-21,2024-05-29,12,8.0,Joined,May-2024
53,1,1,15,1,49.84,42,55,93,2,1,2024-04-13,2024-04-29,2024-05-06,16,7.0,Joined,Apr-2024
25,0,3,6,3,21.92,2,4,3,1,0,2024-05-21,2024-06-24,,34,,Dropped at Screening,Jun-2024
41,0,1,12,3,6.45,9,11,1,1,1,2024-05-27,2024-06-22,2024-06-29,26,7.0,Joined,Jun-2024
30,0,1,0,4,2.49,58,40,66,3,1,2024-03-29,2024-04-25,2024-05-07,27,12.0,Joined,Apr-2024
35,0,1,6,1,36.62,13,2,20,3,1,2024-02-18,2024-03-15,2024-04-09,26,25.0,Joined,Mar-2024
52,0,1,7,4,43.83,75,98,69,1,0,2024-05-15,2024-06-05,,21,,Dropped at Offer,Jun-2024
28,0,1,4,1,11.81,46,32,42,3,1,2024-06-22,2024-08-03,2024-08-16,42,13.0,Joined,Aug-2024
25,0,1,1,4,8.76,41,85,81,3,0,2024-05-28,2024-06-30,,33,,Dropped at Interview,Jun-2024
35,1,3,4,2,4.05,93,49,68,1,1,2024-03-27,2024-04-30,2024-05-30,34,30.0,Joined,Apr-2024
48,1,1,5,2,41.31,31,55,8,2,1,2024-06-08,2024-06-19,2024-06-30,11,11.0,Joined,Jun-2024
22,0,2,11,5,16.26,31,8,83,3,0,2024-01-08,2024-02-16,,39,,Dropped at Interview,Feb-2024
39,1,1,1,4,20.68,41,81,27,1,0,2024-04-10,2024-05-06,,26,,Dropped at Interview,May-2024
38,1,1,13,3,25.63,31,49,25,3,1,2024-01-16,2024-02-20,2024-03-18,35,27.0,Joined,Feb-2024
45,1,3,5,5,42.13,25,28,81,3,1,2024-02-09,2024-03-18,2024-04-11,38,24.0,Joined,Mar-2024
22,1,3,5,2,32.89,0,38,82,1,1,2024-04-15,2024-05-19,2024-06-18,34,30.0,Joined,May-2024
38,0,2,0,4,31.14,55,90,2,3,0,2024-01-27,2024-03-10,,43,,Dropped at Offer,Mar-2024
39,1,2,13,5,9.61,1,99,72,3,0,2024-04-13,2024-05-23,,40,,Dropped at Screening,May-2024
51,1,3,0,4,26.15,80,44,99,3,1,2024-04-14,2024-05-16,2024-06-04,32,19.0,Joined,May-2024
26,1,3,13,2,36.05,29,16,94,2,1,2024-05-25,2024-06-11,2024-06-18,17,7.0,Joined,Jun-2024
52,0,1,10,5,48.69,70,55,48,2,0,2024-02-04,2024-02-20,,16,,Dropped at Offer,Feb-2024
37,0,3,15,2,10.87,51,97,16,3,0,2024-04-22,2024-06-04,,43,,Dropped at Interview,Jun-2024
20,0,2,9,1,1.47,90,45,62,1,1,2024-02-21,2024-03-25,2024-04-10,33,16.0,Joined,Mar-2024
30,0,1,2,2,4.69,8,66,54,3,0,2024-05-22,2024-06-30,,39,,Dropped at Screening,Jun-2024
47,0,2,13,4,19.42,21,68,22,3,1,2024-02-22,2024-03-25,2024-04-09,32,15.0,Joined,Mar-2024
44,0,1,9,3,41.21,33,13,33,2,0,2024-03-31,2024-04-22,,22,,Dropped at Interview,Apr-2024
42,0,3,9,2,1.35,48,66,68,2,1,2024-03-21,2024-04-08,2024-05-01,18,23.0,Joined,Apr-2024
50,1,2,14,3,23.38,0,22,14,2,1,2024-04-13,2024-04-30,2024-05-07,17,7.0,Joined,Apr-2024
49,1,1,11,1,17.13,72,93,46,3,1,2024-03-06,2024-04-02,2024-04-09,27,7.0,Joined,Apr-2024
54,1,1,2,5,3.57,83,60,2,3,0,2024-04-22,2024-05-22,,30,,Dropped at Offer,May-2024
26,0,3,3,5,23.06,52,22,82,1,1,2024-01-31,2024-02-20,2024-03-04,20,13.0,Joined,Feb-2024
35,0,3,1,3,13.48,82,26,27,3,1,2024-03-01,2024-04-09,2024-04-19,39,10.0,Joined,Apr-2024
45,0,3,8,5,18.24,99,53,2,3,0,2024-04-10,2024-05-08,,28,,Dropped at Offer,May-2024
21,0,2,9,2,35.58,39,9,3,2,1,2024-04-14,2024-05-08,2024-06-06,24,29.0,Joined,May-2024
20,0,1,11,3,26.56,44,88,87,2,1,2024-04-07,2024-04-27,2024-05-24,20,27.0,Joined,Apr-2024
31,1,3,10,4,7.11,67,76,30,2,1,2024-02-03,2024-02-14,2024-03-03,11,18.0,Joined,Feb-2024
24,1,2,13,2,48.11,8,15,44,2,0,2024-02-28,2024-03-16,,17,,Dropped at Screening,Mar-2024
51,0,2,6,2,32.16,21,40,58,2,0,2024-01-03,2024-01-13,,10,,Dropped at Screening,Jan-2024
28,0,2,6,2,38.53,17,97,44,1,0,2024-01-17,2024-02-18,,32,,Dropped at Screening,Feb-2024
54,0,3,14,4,4.88,75,54,74,1,0,2024-03-18,2024-04-14,,27,,Dropped at Offer,Apr-2024
38,0,3,5,1,3.31,42,100,36,1,1,2024-02-15,2024-03-12,2024-04-03,26,22.0,Joined,Mar-2024
35,1,1,14,5,1.95,38,60,64,2,0,2024-06-14,2024-07-02,,18,,Dropped at Interview,Jul-2024
22,0,1,2,3,10.25,72,85,8,2,0,2024-02-04,2024-02-25,,21,,Dropped at Offer,Feb-2024
39,0,3,5,1,21.31,5,80,16,2,0,2024-05-08,2024-05-26,,18,,Dropped at Screening,May-2024
43,0,2,14,3,46.86,82,86,64,1,1,2024-04-21,2024-05-17,2024-06-06,26,20.0,Joined,May-2024
52,0,2,13,5,23.4,47,99,2,2,1,2024-06-05,2024-06-21,2024-07-20,16,29.0,Joined,Jun-2024
43,1,2,11,4,15.22,6,48,25,1,1,2024-05-11,2024-06-10,2024-06-26,30,16.0,Joined,Jun-2024
30,0,1,7,2,28.53,79,72,52,2,0,2024-03-01,2024-03-11,,10,,Dropped at Offer,Mar-2024
27,0,2,7,2,6.48,68,51,30,3,1,2024-04-06,2024-05-18,2024-06-07,42,20.0,Joined,May-2024
39,1,1,10,4,30.87,15,1,25,1,1,2024-05-24,2024-06-26,2024-07-09,33,13.0,Joined,Jun-2024
54,1,1,12,1,28.85,0,95,22,3,0,2024-06-04,2024-07-13,,39,,Dropped at Screening,Jul-2024
44,1,2,8,1,39.81,36,49,29,1,1,2024-06-26,2024-07-25,2024-08-04,29,10.0,Joined,Jul-2024
54,0,2,14,3,49.35,82,85,9,2,0,2024-03-30,2024-04-10,,11,,Dropped at Offer,Apr-2024
44,0,3,0,4,13.29,36,42,71,2,0,2024-05-15,2024-05-31,,16,,Dropped at Interview,May-2024
48,1,3,13,1,25.97,80,76,88,3,1,2024-06-10,2024-07-13,2024-07-21,33,8.0,Joined,Jul-2024
37,1,2,0,4,45.53,63,7,63,2,0,2024-02-28,2024-03-12,,13,,Dropped at Offer,Mar-2024
37,1,1,2,5,39.47,89,58,21,1,0,2024-01-18,2024-02-21,,34,,Dropped at Offer,Feb-2024
21,1,1,2,2,24.88,85,64,14,2,0,2024-04-04,2024-04-16,,12,,Dropped at Offer,Apr-2024
54,1,1,9,2,47.32,61,80,55,2,0,2024-06-03,2024-06-18,,15,,Dropped at Offer,Jun-2024
35,1,1,7,2,3.8,71,11,73,1,0,2024-01-16,2024-02-16,,31,,Dropped at Offer,Feb-2024
52,0,1,14,4,46.62,60,3,19,3,0,2024-01-10,2024-02-10,,31,,Dropped at Offer,Feb-2024
23,0,3,9,4,3.47,32,76,46,3,1,2024-04-13,2024-05-09,2024-06-08,26,30.0,Joined,May-2024
52,0,2,0,3,27.82,65,94,86,2,0,2024-03-16,2024-04-04,,19,,Dropped at Offer,Apr-2024
33,1,3,12,2,44.63,29,40,52,1,0,2024-05-29,2024-06-23,,25,,Dropped at Screening,Jun-2024
40,1,1,1,3,13.87,19,6,52,3,0,2024-01-16,2024-02-14,,29,,Dropped at Screening,Feb-2024
